unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
58968352,2023-09-30T10:10:25.000,2023-09-30T11:58:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11416,101-31 94 STREET,94 STREET,ADDRESS,OZONE PARK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T11:58:11.000,09 QUEENS,4091010058,QUEENS,1026792,188412,PHONE,Unspecified,QUEENS,40.68372195047192,-73.84661169243023,"{'latitude': '40.68372195047192', 'longitude': '-73.84661169243023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,101 AVENUE,103 AVENUE,101 AVENUE,103 AVENUE,94 STREET,,,,,
58969250,2023-09-30T10:10:20.000,2023-11-14T10:01:19.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11216,HERBERT VON KING PARK,HERBERT VON KING PARK,UNRECOGNIZED,BROOKLYN,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-14T10:01:25.000,03 BROOKLYN,3017900001,BROOKLYN,999043,190542,ONLINE,Unspecified,BROOKLYN,40.68965818409251,-73.94665802675449,"{'latitude': '40.68965818409251', 'longitude': '-73.94665802675449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LAFAYETTE AVENUE,VAN BUREN STREET,LAFAYETTE AVENUE,VAN BUREN STREET,HERBERT VON KING PARK,,,,,
59455779,2023-09-30T10:10:05.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10019,150 WEST   58 STREET,WEST   58 STREET,ADDRESS,NEW YORK,Closed,,2023-10-04T00:00:00.000,05 MANHATTAN,1010100051,MANHATTAN,990302,218206,ONLINE,Unspecified,MANHATTAN,40.76559940736655,-73.97815225445711,"{'latitude': '40.76559940736655', 'longitude': '-73.97815225445711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,WEST   58 STREET,,,,,
58975494,2023-09-30T10:09:59.000,2023-10-03T13:09:16.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10309,117 SHARROTT AVENUE,SHARROTT AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-10-02T12:27:57.000,03 STATEN ISLAND,5067960022,STATEN ISLAND,924907,129139,ONLINE,Unspecified,STATEN ISLAND,40.52093345538745,-74.21344459640338,"{'latitude': '40.52093345538745', 'longitude': '-74.21344459640338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BEDELL STREET,KENNETH PLACE,BEDELL STREET,KENNETH PLACE,SHARROTT AVENUE,,,,,
58977100,2023-09-30T10:09:48.000,2023-09-30T10:11:45.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,65-35 YELLOWSTONE BOULEVARD,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-30T10:11:48.000,06 QUEENS,4021520106,QUEENS,1025629,205319,ONLINE,Unspecified,QUEENS,40.73013311785442,-73.85070106826441,"{'latitude': '40.73013311785442', 'longitude': '-73.85070106826441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,65 ROAD,66 AVENUE,65 ROAD,66 AVENUE,YELLOWSTONE BOULEVARD,,,,,
58968312,2023-09-30T10:09:44.000,2023-09-30T10:27:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,312 WEBSTER AVENUE,WEBSTER AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T10:27:58.000,14 BROOKLYN,3054210035,BROOKLYN,992584,169980,MOBILE,Unspecified,BROOKLYN,40.633228476877306,-73.96997390107686,"{'latitude': '40.633228476877306', 'longitude': '-73.96997390107686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,OCEAN PARKWAY,EAST    8 STREET,OCEAN PARKWAY,EAST    8 STREET,WEBSTER AVENUE,,,,,
58976986,2023-09-30T10:09:39.000,2023-09-30T11:12:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11360,13-37 BELL BOULEVARD,BELL BOULEVARD,ADDRESS,BAYSIDE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T11:12:44.000,07 QUEENS,4059380081,QUEENS,1044711,226596,ONLINE,Unspecified,QUEENS,40.78842300201002,-73.78166048844065,"{'latitude': '40.78842300201002', 'longitude': '-73.78166048844065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,CROSS ISLAND PARKWAY,14 AVENUE,CROSS ISLAND PARKWAY,14 AVENUE,BELL BOULEVARD,,,,,
58975839,2023-09-30T10:09:37.000,2023-09-30T11:01:27.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11228,7318 12 AVENUE,12 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T11:01:32.000,10 BROOKLYN,3061980045,BROOKLYN,981865,166123,MOBILE,Unspecified,BROOKLYN,40.62264542310364,-74.00859141948054,"{'latitude': '40.62264542310364', 'longitude': '-74.00859141948054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,73 STREET,74 STREET,73 STREET,74 STREET,12 AVENUE,,,,,
58972977,2023-09-30T10:09:26.000,2023-10-20T11:02:38.000,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,10466,3944 MONTICELLO AVENUE,MONTICELLO AVENUE,ADDRESS,BRONX,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-20T11:02:43.000,12 BRONX,2049600025,BRONX,1029116,263516,MOBILE,Unspecified,BRONX,40.88985041151345,-73.83773072901494,"{'latitude': '40.88985041151345', 'longitude': '-73.83773072901494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  233 STREET,STRANG AVENUE,EAST  233 STREET,STRANG AVENUE,MONTICELLO AVENUE,,,,,
58972689,2023-09-30T10:09:23.000,2023-11-09T09:44:02.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11432,89-20 161 STREET,161 STREET,ADDRESS,JAMAICA,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-09T00:00:00.000,12 QUEENS,4097580035,QUEENS,1039753,196589,PHONE,Unspecified,QUEENS,40.70609407732761,-73.79981262069354,"{'latitude': '40.70609407732761', 'longitude': '-73.79981262069354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972687,2023-09-30T10:08:50.000,2023-10-20T19:44:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972721,2023-09-30T10:08:50.000,2023-10-20T19:44:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972729,2023-09-30T10:08:50.000,2023-10-20T19:44:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970171,2023-09-30T10:08:50.000,2023-10-20T19:44:57.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970322,2023-09-30T10:08:50.000,2023-10-20T19:44:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58975147,2023-09-30T10:08:50.000,2023-10-20T19:44:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972616,2023-09-30T10:08:50.000,2023-10-20T19:44:59.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58973967,2023-09-30T10:08:48.000,2023-10-05T11:24:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58973773,2023-09-30T10:08:48.000,2023-10-30T14:35:21.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-30T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58969007,2023-09-30T10:08:48.000,2023-10-30T14:35:20.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-30T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58977488,2023-09-30T10:08:48.000,2023-10-30T14:35:20.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-30T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58969041,2023-09-30T10:08:48.000,2023-10-30T14:35:21.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-30T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58977490,2023-09-30T10:08:48.000,2023-10-05T11:24:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,257 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,05 BROOKLYN,3037380010,BROOKLYN,1013180,183873,PHONE,Unspecified,BROOKLYN,40.67131838640527,-73.89571018587452,"{'latitude': '40.67131838640527', 'longitude': '-73.89571018587452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58977570,2023-09-30T10:08:46.000,2023-10-02T21:57:53.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11355,41-24 KISSENA BOULEVARD,KISSENA BOULEVARD,ADDRESS,FLUSHING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,07 QUEENS,4050430011,QUEENS,1031698,215497,ONLINE,Unspecified,QUEENS,40.75803865624499,-73.82873185511492,"{'latitude': '40.75803865624499', 'longitude': '-73.82873185511492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58977551,2023-09-30T10:08:46.000,2023-10-10T09:00:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11368,58-03 CALLOWAY STREET,CALLOWAY STREET,ADDRESS,CORONA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 QUEENS,4019490106,QUEENS,1023522,208203,PHONE,Unspecified,QUEENS,40.73805858336545,-73.85828645464701,"{'latitude': '40.73805858336545', 'longitude': '-73.85828645464701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972843,2023-09-30T10:08:19.000,2023-10-12T15:51:56.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,Street,11420,133-18 135 PLACE,135 PLACE,ADDRESS,SOUTH OZONE PARK,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-10-12T11:51:20.000,10 QUEENS,4117950065,QUEENS,1038996,182998,ONLINE,Unspecified,QUEENS,40.66879471036448,-73.80265338340155,"{'latitude': '40.66879471036448', 'longitude': '-73.80265338340155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,135 PLACE,,,,,
59442311,2023-09-30T10:08:16.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Apartment,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELDERT LANE,,ELDERT LANE,,ROCKAWAY BOULEVARD,,,,,
59441775,2023-09-30T10:08:15.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,Apartment,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELDERT LANE,,ELDERT LANE,,ROCKAWAY BOULEVARD,,,,,
59453745,2023-09-30T10:08:14.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Bell/Buzzer/Intercom,Apartment,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELDERT LANE,,ELDERT LANE,,ROCKAWAY BOULEVARD,,,,,
59439536,2023-09-30T10:08:11.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Appliance,Electric/Gas Range,Apartment,11421,74-03 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,Closed,,2023-10-20T00:00:00.000,09 QUEENS,4089440048,QUEENS,1021193,189484,ONLINE,Unspecified,QUEENS,40.68668948150508,-73.86679338728624,"{'latitude': '40.68668948150508', 'longitude': '-73.86679338728624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELDERT LANE,,ELDERT LANE,,ROCKAWAY BOULEVARD,,,,,
58971962,2023-09-30T10:08:00.000,2023-09-30T10:40:00.000,DEP,Department of Environmental Protection,Sewer,Highway Flooding (SH),,,BRP - Northbound,BRP - Northbound,BLOCKFACE,,Closed,The Department of Environmental Protection investigated this complaint and resolved the highway flooding.,2023-09-30T10:40:00.000,Unspecified BRONX,,BRONX,,,ONLINE,Unspecified,BRONX,,,,,,,E 233 St (Exit 10),Westchester County,,,,,,,,
58973176,2023-09-30T10:08:00.000,2023-10-02T08:09:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10036,740 8 AVENUE,8 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T08:09:00.000,05 MANHATTAN,1010170001,MANHATTAN,987548,216000,ONLINE,Unspecified,MANHATTAN,40.75954596145767,-73.98809528819223,"{'latitude': '40.75954596145767', 'longitude': '-73.98809528819223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,W 45 ST,W 46 ST,,,,,,,,
58973175,2023-09-30T10:08:00.000,2023-10-02T08:08:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10036,740 8 AVENUE,8 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T08:08:00.000,05 MANHATTAN,1010170001,MANHATTAN,987548,216000,ONLINE,Unspecified,MANHATTAN,40.75954596145767,-73.98809528819223,"{'latitude': '40.75954596145767', 'longitude': '-73.98809528819223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,W 45 ST,W 46 ST,,,,,,,,
58972026,2023-09-30T10:08:00.000,2023-09-30T13:25:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11356,14-29 128 STREET,128 STREET,ADDRESS,COLLEGE POINT,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T13:25:00.000,07 QUEENS,4040950020,QUEENS,1028476,225328,ONLINE,Unspecified,QUEENS,40.78503884394616,-73.84029725295662,"{'latitude': '40.78503884394616', 'longitude': '-73.84029725295662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,14 AVE,18 AVE,,,,,,,,
58968267,2023-09-30T10:08:00.000,2023-09-30T14:05:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11354,147-24 34 AVENUE,34 AVENUE,ADDRESS,FLUSHING,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T14:05:00.000,07 QUEENS,4049960072,QUEENS,1034374,218940,ONLINE,Unspecified,QUEENS,40.76747401921116,-73.8190469284018,"{'latitude': '40.76747401921116', 'longitude': '-73.8190469284018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,147 PL,148 ST,,,,,,,,
58975593,2023-09-30T10:08:00.000,2023-10-02T08:08:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10036,740 8 AVENUE,8 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T08:08:00.000,05 MANHATTAN,1010170001,MANHATTAN,987548,216000,ONLINE,Unspecified,MANHATTAN,40.75954596145767,-73.98809528819223,"{'latitude': '40.75954596145767', 'longitude': '-73.98809528819223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,W 45 ST,W 46 ST,,,,,,,,
58974294,2023-09-30T10:07:57.000,2023-09-30T11:07:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11222,LORIMER STREET,LORIMER STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T11:07:47.000,01 BROOKLYN,,BROOKLYN,996830,204774,PHONE,Unspecified,BROOKLYN,40.72872506808516,-73.95461127502438,"{'latitude': '40.72872506808516', 'longitude': '-73.95461127502438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LORIMER STREET,NOBLE STREET,LORIMER STREET,NOBLE STREET,,,,,,
58972884,2023-09-30T10:07:34.000,2023-10-02T15:36:14.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,11218,439 MCDONALD AVENUE,MCDONALD AVENUE,ADDRESS,BROOKLYN,Closed,See notes for information.,2023-10-02T15:36:17.000,12 BROOKLYN,3053340062,BROOKLYN,989916,173752,ONLINE,Unspecified,BROOKLYN,40.643583919395276,-73.97958311999099,"{'latitude': '40.643583919395276', 'longitude': '-73.97958311999099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ALBEMARLE ROAD,CHURCH AVENUE,ALBEMARLE ROAD,CHURCH AVENUE,MCDONALD AVENUE,"439 MCDONALD AVENUE, BROOKLYN, NY, 11218",,,,
58977713,2023-09-30T10:07:28.000,2023-10-02T19:21:19.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,10009,155 AVENUE B,AVENUE B,ADDRESS,NEW YORK,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-30T10:07:28.000,03 MANHATTAN,1003920007,MANHATTAN,989802,204057,MOBILE,Unspecified,MANHATTAN,40.7267642811597,-73.97996893661556,"{'latitude': '40.7267642811597', 'longitude': '-73.97996893661556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST 9 STREET,EAST 10 STREET,EAST    9 STREET,EAST   10 STREET,AVENUE B,,,,,
